sweep,filename,rpot_ohm,n_maxima,rpot_source,nominal_rpot_ohm,n_branches,n_slopes,unresolved_pct,cluster_pct,mean_T_us,median_T_us,mean_vs_median_pct,mean_ln_abs_fprime,lambda_map_per_s,lambda_map_err_per_s,lambda_map_err_stat,lambda_map_err_width,map_r2_within_branch,lambda_rosenstein_per_s,lambda_rosenstein_err_per_s,rosenstein_fit_r2,rosenstein_status,status,u_r_block_ohm,dt_s,u_lambda_timebase_per_s,lambda_timebase_25ppm_component_per_s,lambda_error_status
forward,trace168.csv,698.04,570,divider sidecar (R0=992 ohm),,1,567,1.1,0.4,351.039,348.4,0.75,0.3555,1012.72,128.33,114.93,57.06,0.9993,831.96,39.04,0.9965,ok,ok,0.2698939284789651,3.999999999976245e-07,,0.012008308248875027,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace169.csv,697.52,568,divider sidecar (R0=992 ohm),,1,567,0.0,0.0,351.8074,349.6,0.63,0.51584,1466.25,83.3,83.07,5.41,0.999,979.46,20.14,0.9952,ok,ok,0.20784827159093522,3.999999999976245e-07,,0.014137287366511772,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace170.csv,695.96,568,divider sidecar (R0=992 ohm),,1,567,0.5,0.0,351.9175,348.79,0.89,0.53868,1530.71,82.1,82.02,1.41,0.9989,1041.21,24.52,0.997,ok,ok,0.23527377480931005,3.999999999976245e-07,,0.015028571844573258,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace171.csv,694.8,568,divider sidecar (R0=992 ohm),,1,567,0.7,0.0,352.2659,349.19,0.87,0.5717,1622.91,79.73,79.09,9.51,0.9987,1081.13,25.11,0.9963,ok,ok,0.15506618350518195,3.999999999976245e-07,,0.015604767413224505,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace172.csv,693.34,568,divider sidecar (R0=992 ohm),,1,567,0.7,0.0,352.2371,349.19,0.87,0.58299,1655.11,76.61,75.51,12.45,0.9987,1043.03,8.79,0.9963,ok,ok,0.23163167010024055,3.999999999976245e-07,,0.015054841281821385,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace173.csv,693.74,567,divider sidecar (R0=992 ohm),,1,566,0.0,0.0,352.1852,349.995,0.62,0.61399,1743.38,69.28,62.72,29.19,0.9987,1100.91,20.46,0.9952,ok,ok,0.20439239031276543,3.999999999976245e-07,,0.015890267121338775,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace174.csv,692.29,568,divider sidecar (R0=992 ohm),,1,567,0.2,0.0,351.5541,348.0,1.01,0.5714,1625.34,81.96,69.89,42.66,0.9988,1115.72,24.02,0.997,ok,ok,0.18797108133804277,3.999999999976245e-07,,0.016104031058506232,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace175.csv,691.23,568,divider sidecar (R0=992 ohm),,1,567,0.0,0.0,352.0289,349.2,0.8,0.59001,1676.03,76.99,68.57,34.83,0.9987,1118.15,18.4,0.9961,ok,ok,0.2042254652258984,3.999999999976245e-07,,0.016139105087359502,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace176.csv,690.5,568,divider sidecar (R0=992 ohm),,1,567,0.2,0.0,351.6529,349.19,0.7,0.57226,1627.33,87.03,74.98,44.03,0.9987,1056.29,18.46,0.9954,ok,ok,0.1937059878634288,3.999999999976245e-07,,0.015246232896057746,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace177.csv,689.42,568,divider sidecar (R0=992 ohm),,1,567,0.2,0.0,352.1347,350.01,0.6,0.6064,1722.06,70.29,69.65,8.64,0.9987,1152.94,29.01,0.9974,ok,ok,0.1859809232406712,3.999999999976245e-07,,0.01664125548398718,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
