sweep,filename,rpot_ohm,dt_s,n_samples,u_r_total_ohm,uncertainty_status,CH1_quantum_V,CH1_quantum_grid_consistency,CH1_u_quantization_V,CH1_dc_reading_limit_V,CH2_quantum_V,CH2_quantum_grid_consistency,CH2_u_quantization_V,CH2_dc_reading_limit_V,CH3_quantum_V,CH3_quantum_grid_consistency,CH3_u_quantization_V,CH3_dc_reading_limit_V,u_r_block_5ms_ohm,u_r_block_10ms_ohm,u_r_block_ohm,block_ci95_low_ohm,block_ci95_high_ohm,block_duration_selected_s
forward,trace14.csv,870.5,3.999999999976245e-07,500000,,partial: calibration/probe/R0 terms unresolved,0.01205999999999996,1.0,0.0034814221232134317,,0.0120603,1.0,0.003481508725753822,,0.01205999999999996,1.0,0.0034814221232134317,,1.932664911242066,1.7006240291435761,1.932664911242066,866.7701668424949,873.9655065204481,0.005
forward,trace15.csv,881.24,3.999999999976245e-07,500000,,partial: calibration/probe/R0 terms unresolved,0.01205999999999996,1.0,0.0034814221232134317,,0.0120603,1.0,0.003481508725753822,,0.01205999999999996,1.0,0.0034814221232134317,,2.0176194854571694,2.4530346181982345,2.4530346181982345,877.1207571704687,886.3608111650368,0.01
forward,trace16.csv,887.71,3.999999999976245e-07,500000,,partial: calibration/probe/R0 terms unresolved,0.01205999999999996,1.0,0.0034814221232134317,,0.012060300000000003,1.0,0.003481508725753823,,0.01205999999999996,1.0,0.0034814221232134317,,1.5738214748886632,1.2758886972974643,1.5738214748886632,884.7689918348125,890.5979990617857,0.005
forward,trace17.csv,891.03,3.999999999976245e-07,500000,,partial: calibration/probe/R0 terms unresolved,0.01205999999999996,1.0,0.0034814221232134317,,0.0120603,1.0,0.003481508725753822,,0.01205999999999996,1.0,0.0034814221232134317,,1.2086546950200048,1.3704038269603487,1.3704038269603487,888.3873607903645,893.6522313869491,0.01
forward,trace18.csv,891.18,3.999999999976245e-07,500000,,partial: calibration/probe/R0 terms unresolved,0.01205999999999996,1.0,0.0034814221232134317,,0.0120603,1.0,0.003481508725753822,,0.01205999999999996,1.0,0.0034814221232134317,,1.2656357740468487,1.0136282664173704,1.2656357740468487,888.8962173532251,893.6114246829443,0.005
forward,trace19.csv,886.75,3.999999999976245e-07,500000,,partial: calibration/probe/R0 terms unresolved,0.01205999999999996,1.0,0.0034814221232134317,,0.012060299999999996,1.0,0.0034815087257538207,,0.01205999999999996,1.0,0.0034814221232134317,,1.0699447948640148,1.2435981250348214,1.2435981250348214,884.3597361398047,889.0263910307252,0.01
forward,trace20.csv,886.16,3.999999999976245e-07,500000,,partial: calibration/probe/R0 terms unresolved,0.01205999999999996,1.0,0.0034814221232134317,,0.012060299999999998,1.0,0.0034815087257538215,,0.01205999999999996,1.0,0.0034814221232134317,,0.7305828389987679,0.7541152699235759,0.7541152699235759,884.6721847913294,887.7005118947686,0.01
forward,trace21.csv,885.56,3.999999999976245e-07,500000,,partial: calibration/probe/R0 terms unresolved,0.01205999999999996,1.0,0.0034814221232134317,,0.012060299999999996,1.0,0.0034815087257538207,,0.01205999999999996,1.0,0.0034814221232134317,,0.7186304373392876,0.5783257389082961,0.7186304373392876,884.1575011707101,887.0111697256194,0.005
forward,trace22.csv,886.8,3.999999999976245e-07,500000,,partial: calibration/probe/R0 terms unresolved,0.01205999999999996,1.0,0.0034814221232134317,,0.012060299999999996,1.0,0.0034815087257538207,,0.01205999999999996,1.0,0.0034814221232134317,,0.737629857402845,0.9476674271523082,0.9476674271523082,885.0592396103938,888.7344689588675,0.01
forward,trace23.csv,886.28,3.999999999976245e-07,500000,,partial: calibration/probe/R0 terms unresolved,0.01205999999999996,1.0,0.0034814221232134317,,0.012060299999999996,1.0,0.0034815087257538207,,0.01205999999999996,1.0,0.0034814221232134317,,0.6031693093583453,0.5429436675195477,0.6031693093583453,885.169385980105,887.4926980734498,0.005
forward,trace24.csv,889.84,3.999999999976245e-07,500000,,partial: calibration/probe/R0 terms unresolved,0.01205999999999996,1.0,0.0034814221232134317,,0.012060299999999996,1.0,0.0034815087257538207,,0.01205999999999996,1.0,0.0034814221232134317,,0.672392141091608,0.4694125567018624,0.672392141091608,888.460706592626,891.1825640443503,0.005
forward,trace25.csv,886.37,3.999999999976245e-07,500000,,partial: calibration/probe/R0 terms unresolved,0.01205999999999996,1.0,0.0034814221232134317,,0.012060299999999996,1.0,0.0034815087257538207,,0.01205999999999996,1.0,0.0034814221232134317,,0.5412705940481761,0.5130368601981159,0.5412705940481761,885.4018363957557,887.4726764446257,0.005
forward,trace26.csv,884.81,3.999999999976245e-07,500000,,partial: calibration/probe/R0 terms unresolved,0.01205999999999996,1.0,0.0034814221232134317,,0.012060299999999996,1.0,0.0034815087257538207,,0.01205999999999996,1.0,0.0034814221232134317,,0.44008782990786965,0.427359751562917,0.44008782990786965,883.9686721678347,885.7462737584318,0.005
forward,trace27.csv,882.19,3.999999999976245e-07,500000,,partial: calibration/probe/R0 terms unresolved,0.01205999999999996,1.0,0.0034814221232134317,,0.012060299999999996,1.0,0.0034815087257538207,,0.01205999999999996,1.0,0.0034814221232134317,,0.44586484510266294,0.4564522415554864,0.4564522415554864,881.252056413254,883.0990639102068,0.01
forward,trace28.csv,879.88,3.999999999976245e-07,500000,,partial: calibration/probe/R0 terms unresolved,0.01205999999999996,1.0,0.0034814221232134317,,0.012060299999999996,1.0,0.0034815087257538207,,0.01205999999999996,1.0,0.0034814221232134317,,0.3892032815622269,0.2752491399710059,0.3892032815622269,879.1663028617885,880.6900272165598,0.005
forward,trace29.csv,877.59,3.999999999976245e-07,500000,,partial: calibration/probe/R0 terms unresolved,0.01205999999999996,1.0,0.0034814221232134317,,0.012060299999999996,1.0,0.0034815087257538207,,0.01205999999999996,1.0,0.0034814221232134317,,0.3788401513862513,0.34703632044018295,0.3788401513862513,876.8548423831771,878.3413152415895,0.005
forward,trace30.csv,875.85,3.999999999976245e-07,500000,,partial: calibration/probe/R0 terms unresolved,0.01205999999999996,1.0,0.0034814221232134317,,0.012060299999999996,1.0,0.0034815087257538207,,0.01205999999999996,1.0,0.0034814221232134317,,0.3304514684269788,0.296737576228684,0.3304514684269788,875.2039866959988,876.4753822402556,0.005
forward,trace31.csv,873.7,3.999999999976245e-07,500000,,partial: calibration/probe/R0 terms unresolved,0.01205999999999996,1.0,0.0034814221232134317,,0.012060299999999996,1.0,0.0034815087257538207,,0.01205999999999996,1.0,0.0034814221232134317,,0.40406315977223317,0.34857428361690523,0.40406315977223317,872.8700952615707,874.509794652996,0.005
forward,trace32.csv,872.39,3.999999999976245e-07,500000,,partial: calibration/probe/R0 terms unresolved,0.01205999999999996,1.0,0.0034814221232134317,,0.012060299999999996,1.0,0.0034815087257538207,,0.01205999999999996,1.0,0.0034814221232134317,,0.3080156234461053,0.34176674092310305,0.34176674092310305,871.5891865514694,872.9654752364021,0.01
forward,trace33.csv,870.74,3.999999999976245e-07,500000,,partial: calibration/probe/R0 terms unresolved,0.01205999999999996,1.0,0.0034814221232134317,,0.012060299999999996,1.0,0.0034815087257538207,,0.01205999999999996,1.0,0.0034814221232134317,,0.27143957266394886,0.2380497410525314,0.27143957266394886,870.1957446057361,871.292133152032,0.005
forward,trace34.csv,868.34,3.999999999976245e-07,500000,,partial: calibration/probe/R0 terms unresolved,0.01205999999999996,1.0,0.0034814221232134317,,0.012060299999999996,1.0,0.0034815087257538207,,0.01205999999999996,1.0,0.0034814221232134317,,0.2954731569351065,0.3090334484663301,0.3090334484663301,867.7717810074159,868.9665175881522,0.01
forward,trace35.csv,867.4,3.999999999976245e-07,500000,,partial: calibration/probe/R0 terms unresolved,0.01205999999999996,1.0,0.0034814221232134317,,0.012060299999999996,1.0,0.0034815087257538207,,0.01205999999999996,1.0,0.0034814221232134317,,0.2975187309629502,0.3083675285886211,0.3083675285886211,866.8348812861677,868.0489577103467,0.01
forward,trace36.csv,863.69,3.999999999976245e-07,500000,,partial: calibration/probe/R0 terms unresolved,0.01205999999999996,1.0,0.0034814221232134317,,0.012060299999999996,1.0,0.0034815087257538207,,0.01205999999999996,1.0,0.0034814221232134317,,0.2516858551380785,0.27487585477060084,0.27487585477060084,863.1758257076236,864.2662476728467,0.01
forward,trace37.csv,867.49,3.999999999976245e-07,500000,,partial: calibration/probe/R0 terms unresolved,0.014070000000000249,1.0,0.0040616591437490895,,0.014070350000000002,1.0,0.004061760180046127,,0.014070000000000027,1.0,0.004061659143749025,,0.23118580264033312,0.23925758121879862,0.23925758121879862,867.0200871211425,868.0012389764113,0.01
forward,trace38.csv,864.81,3.999999999976245e-07,500000,,partial: calibration/probe/R0 terms unresolved,0.014070000000000249,1.0,0.0040616591437490895,,0.014070350000000002,1.0,0.004061760180046127,,0.014070000000000027,1.0,0.004061659143749025,,0.22883358594446856,0.2137826647069607,0.22883358594446856,864.3950453356043,865.2822979455502,0.005
forward,trace39.csv,862.94,3.999999999976245e-07,500000,,partial: calibration/probe/R0 terms unresolved,0.014070000000000249,1.0,0.0040616591437490895,,0.014070350000000002,1.0,0.004061760180046127,,0.014070000000000027,1.0,0.004061659143749025,,0.19538148569880784,0.24336270525523498,0.24336270525523498,862.4266342518376,863.3614202762594,0.01
forward,trace40.csv,860.39,3.999999999976245e-07,500000,,partial: calibration/probe/R0 terms unresolved,0.016080000000000094,1.0,0.004641896164284618,,0.016080399999999995,1.0,0.004642011634338428,,0.016080399999999995,1.0,0.004642011634338428,,0.1908218111638502,0.17316133493060828,0.1908218111638502,860.0267429355206,860.7828054975827,0.005
forward,trace41.csv,854.29,3.999999999976245e-07,500000,,partial: calibration/probe/R0 terms unresolved,0.018090000000000273,1.0,0.005222133184820244,,0.018090455,1.0,0.005222264532006406,,0.01809039999999995,1.0,0.005222248654873989,,0.13493525200801887,0.11743796091434835,0.13493525200801887,854.0224409497341,854.5510348376595,0.005
forward,trace42.csv,852.85,3.999999999976245e-07,500000,,partial: calibration/probe/R0 terms unresolved,0.01809000000000016,1.0,0.0052221331848202115,,0.0180904552,1.0,0.0052222645897414335,,0.018090400000000062,1.0,0.005222248654874021,,0.1534054289619639,0.13289199145623407,0.1534054289619639,852.5708853238797,853.1423676804676,0.005
forward,trace43.csv,862.13,3.999999999976245e-07,500000,,partial: calibration/probe/R0 terms unresolved,0.020100499999999855,1.0,0.005802514542922995,,0.020100499999999997,1.0,0.0058025145429230355,,0.020100499999999966,1.0,0.005802514542923027,,0.1833368064172718,0.17732134382269119,0.1833368064172718,861.7936422194474,862.4840066672456,0.005
forward,trace44.csv,844.53,3.999999999976245e-07,500000,,partial: calibration/probe/R0 terms unresolved,0.022513000000000005,1.0,0.006498943305133024,,0.022512599999999994,1.0,0.006498827835079183,,0.022512599999999994,1.0,0.006498827835079183,,0.150855818729129,0.1324888425847546,0.150855818729129,844.2240253500039,844.8001561656096,0.005
forward,trace45.csv,840.53,3.999999999976245e-07,500000,,partial: calibration/probe/R0 terms unresolved,0.022513000000000005,1.0,0.006498943305133024,,0.022512599999999994,1.0,0.006498827835079183,,0.022512599999999994,1.0,0.006498827835079183,,0.17722098296638925,0.19004931351103052,0.19004931351103052,840.1474191167894,840.9094170876518,0.01
forward,trace46.csv,837.81,3.999999999976245e-07,500000,,partial: calibration/probe/R0 terms unresolved,0.022513000000000005,1.0,0.006498943305133024,,0.022512599999999994,1.0,0.006498827835079183,,0.022512599999999994,1.0,0.006498827835079183,,0.12760338355534073,0.1459495708663122,0.1459495708663122,837.532075000865,838.1274332609162,0.01
forward,trace47.csv,834.98,3.999999999976245e-07,500000,,partial: calibration/probe/R0 terms unresolved,0.022513000000000005,1.0,0.006498943305133024,,0.022512599999999994,1.0,0.006498827835079183,,0.022512599999999994,1.0,0.006498827835079183,,0.14113345468199523,0.16312943604337837,0.16312943604337837,834.6602063531762,835.2828817537682,0.01
forward,trace48.csv,830.85,3.999999999976245e-07,500000,,partial: calibration/probe/R0 terms unresolved,0.022513000000000005,1.0,0.006498943305133024,,0.022512599999999994,1.0,0.006498827835079183,,0.022512599999999994,1.0,0.006498827835079183,,0.11768538451284373,0.13096689376704526,0.13096689376704526,830.6133188479125,831.0875579860341,0.01
