sweep,filename,rpot_ohm,dt_s,n_samples,u_r_total_ohm,uncertainty_status,CH1_quantum_V,CH1_quantum_grid_consistency,CH1_u_quantization_V,CH1_dc_reading_limit_V,CH2_quantum_V,CH2_quantum_grid_consistency,CH2_u_quantization_V,CH2_dc_reading_limit_V,CH3_quantum_V,CH3_quantum_grid_consistency,CH3_u_quantization_V,CH3_dc_reading_limit_V,u_r_block_5ms_ohm,u_r_block_10ms_ohm,u_r_block_ohm,block_ci95_low_ohm,block_ci95_high_ohm,block_duration_selected_s
back,trace1.csv,2.7,1.000000000001e-06,500000,,partial: calibration/probe/R0 terms unresolved,0.08040200000000003,1.0,0.023210058171692156,,0.08040199999999997,1.0,0.02321005817169214,,0.08040200000000003,1.0,0.023210058171692156,,0.05042528501856224,0.05022994499531389,0.05042528501856224,2.5967061105433435,2.794481037631855,0.005
back,trace2.csv,36.61,1.000000000001e-06,500000,,partial: calibration/probe/R0 terms unresolved,0.08040200000000003,1.0,0.023210058171692156,,0.08040199999999997,1.0,0.02321005817169214,,0.08040200000000003,1.0,0.023210058171692156,,0.042224821369876854,0.04435151193773063,0.04435151193773063,36.538026627449426,36.70287072208052,0.01
back,trace3.csv,66.62,1.000000000001e-06,500000,,partial: calibration/probe/R0 terms unresolved,0.08040200000000003,1.0,0.023210058171692156,,0.08040199999999997,1.0,0.02321005817169214,,0.08040200000000003,1.0,0.023210058171692156,,0.04143494063407725,0.04322622188016393,0.04322622188016393,66.5281966665857,66.69726132765014,0.01
back,trace4.csv,101.13,1.000000000001e-06,500000,,partial: calibration/probe/R0 terms unresolved,0.08040200000000003,1.0,0.023210058171692156,,0.08040199999999997,1.0,0.02321005817169214,,0.08040200000000003,1.0,0.023210058171692156,,0.047192292024729826,0.044213966916597666,0.047192292024729826,101.03549436425803,101.22272139499766,0.005
back,trace5.csv,133.37,1.000000000001e-06,500000,,partial: calibration/probe/R0 terms unresolved,0.08040200000000003,1.0,0.023210058171692156,,0.08040199999999997,1.0,0.02321005817169214,,0.08040200000000003,1.0,0.023210058171692156,,0.046400848151956005,0.046964327466799544,0.046964327466799544,133.28552091046072,133.46446948277006,0.01
back,trace6.csv,170.61,1.000000000001e-06,500000,,partial: calibration/probe/R0 terms unresolved,0.08040200000000003,1.0,0.023210058171692156,,0.08040199999999997,1.0,0.02321005817169214,,0.08040200000000002,1.0,0.023210058171692152,,0.05147906380010125,0.049210029566143086,0.05147906380010125,170.51126489900966,170.71489424067133,0.005
back,trace7.csv,200.96,1.000000000001e-06,500000,,partial: calibration/probe/R0 terms unresolved,0.08040200000000003,1.0,0.023210058171692156,,0.08040199999999997,1.0,0.02321005817169214,,0.080402,1.0,0.02321005817169215,,0.05319851353961867,0.057451845634317614,0.057451845634317614,200.85063215055976,201.08371664120023,0.01
back,trace8.csv,229.25,1.000000000001e-06,500000,,partial: calibration/probe/R0 terms unresolved,0.08040200000000003,1.0,0.023210058171692156,,0.08040199999999997,1.0,0.02321005817169214,,0.080402,1.0,0.02321005817169215,,0.0524725145378431,0.05146063451229034,0.0524725145378431,229.1375092174764,229.33699123367757,0.005
back,trace9.csv,250.51,1.000000000001e-06,500000,,partial: calibration/probe/R0 terms unresolved,0.08040200000000003,1.0,0.023210058171692156,,0.08040199999999997,1.0,0.02321005817169214,,0.08040200000000002,1.0,0.023210058171692152,,0.04926566070438905,0.04747300346762313,0.04926566070438905,250.40534824105725,250.5992544009189,0.005
back,trace10.csv,277.79,1.000000000001e-06,500000,,partial: calibration/probe/R0 terms unresolved,0.08040200000000003,1.0,0.023210058171692156,,0.08040199999999997,1.0,0.02321005817169214,,0.080402,1.0,0.02321005817169215,,0.04560017311771885,0.040931730598658365,0.04560017311771885,277.70549198702884,277.8820169495044,0.005
