path,status,n_samples,duration_s,dt_s,n_channels,rpot_ohm,residual_pct,resistance_status,n_maxima,period_samples,f0_hz,quantum_V,clip_pct,peak_status,sha256
chua/chaos - 716.9 ohm.csv,ok,499999,0.499998,1.000000000001e-06,3,709.0307266657205,3.4276649383358198,ok,1411,346,2890.1734104017337,0.20100490000000004,0.0416000832001664,ok,30d7f7fe7d8640c27b55b63c43943242d64f5566344365371742838a565c9a4a
chua/comparisons/trace1.csv,ok,500000,0.19999963999999998,3.999999999976245e-07,3,,,non-physical divider coefficients; check channels/clipping,0,0,0.0,0.04341699999999982,0.4904,no periodicity found (not oscillating?),00030676591c53da55d5cbdc1242e251f830cb643467508fce6aa7ff6e725e7f
chua/comparisons/trace2.csv,ok,500000,0.19999963999999998,3.999999999976245e-07,3,,,non-physical divider coefficients; check channels/clipping,0,0,0.0,0.04341699999999982,1.1472,no periodicity found (not oscillating?),57a9e28ab2bc08f54d0c8be8b185e0211877c7e40e959092e7b133536cba6ed5
chua/comparisons/trace3.csv,ok,500000,0.19999963999999998,3.999999999976245e-07,3,,,non-physical divider coefficients; check channels/clipping,0,0,0.0,0.04341699999999982,6.6502,no periodicity found (not oscillating?),acb040cc77d6ddaa50e74d85feb9fe7f0077056d31a3d35330bb0fdd95615840
chua/comparisons/trace4.csv,ok,500000,0.19999963999999998,3.999999999976245e-07,3,,,non-physical divider coefficients; check channels/clipping,0,0,0.0,0.04341699999999982,10.9774,no periodicity found (not oscillating?),6c009b8afc2afb6045ad9524d22589b7e1177ebaf2b4c2a5d988993b9016b683
chua/comparisons/trace5.csv,ok,500000,0.19999963999999998,3.999999999976245e-07,3,,,non-physical divider coefficients; check channels/clipping,0,0,0.0,0.04341699999999982,0.0602,no periodicity found (not oscillating?),71454e8c53e9e6f89310b71528355cc164f0775c9ef864a09e44ce960f1481c7
chua/comparisons/trace6.csv,ok,500000,0.19999963999999998,3.999999999976245e-07,3,,,non-physical divider coefficients; check channels/clipping,0,0,0.0,0.04341699999999982,0.3516,no periodicity found (not oscillating?),d99ae9a69cd394aa19600e3851101ad947da4027c8fa27a9a7ede08460092671
chua/comparisons/trace7.csv,ok,500000,0.19999963999999998,3.999999999976245e-07,3,,,non-physical divider coefficients; check channels/clipping,0,0,0.0,0.04341699999999982,0.5096,no periodicity found (not oscillating?),372c3ed5a37e03ce8f15499ff8a380da2b0c83788d9423ae228173be3a4dba8f
chua/comparisons/trace8.csv,ok,500000,0.19999963999999998,3.999999999976245e-07,3,,,non-physical divider coefficients; check channels/clipping,0,0,0.0,0.04341699999999982,0.4712,no periodicity found (not oscillating?),13b383a9e5302f4ca3daa08be884612d67a876db668b74571f054a2b7f49813c
chua/comparisons/trace9.csv,ok,500000,0.19999963999999998,3.999999999976245e-07,3,250.7616532784458,13.23817739658835,CHECK,0,0,0.0,0.04341699999999982,6.0576,no periodicity found (not oscillating?),64bbab0bdfd6d247b98980ac0659f8a719b2285703973f22c191c1ac920ca06d
chua/comparisons/trace10.csv,ok,500000,0.19999963999999998,3.999999999976245e-07,3,397.87537055570596,11.364952403327237,CHECK,0,0,0.0,0.04341699999999982,0.1086,no periodicity found (not oscillating?),657003daab97fdb01659873e6ae53307ca43aa1ece7405529f42af41780ea77b
chua/comparisons/trace11.csv,ok,500000,0.19999963999999998,3.999999999976245e-07,3,450.2344172311691,11.155437395784944,CHECK,0,0,0.0,0.04341699999999982,0.0148,no periodicity found (not oscillating?),18a648bd9961017a5a517d091280b08dd9fd90911f20bfda6a4801569e4b8085
chua/comparisons/trace12.csv,ok,500000,0.19999963999999998,3.999999999976245e-07,3,544.2101178678555,5.296266823851192,CHECK,0,0,0.0,0.04341699999999982,0.0042,no periodicity found (not oscillating?),dff46068c56ecb2a408b4748a1e4636f436d85a1bc518c9ae5b1e0cffd3118e4
chua/comparisons/trace13.csv,ok,500000,0.19999963999999998,3.999999999976245e-07,3,708.1801657695179,8.25197879557213,CHECK,0,0,0.0,0.04341699999999982,0.0668,no periodicity found (not oscillating?),e3d4fab9c2be24b50739f9d45815813b095ccfd384c17d427f8fa4b11ce404b4
chua/comparisons/trace14.csv,ok,500000,0.19999963999999998,3.999999999976245e-07,3,776.2350601878001,8.207713464513262,CHECK,0,0,0.0,0.04341699999999982,0.165,no periodicity found (not oscillating?),03df768c8136b0eac3d6e643302fb673bcb698c8421f98b4a8513f0911fa74a2
chua/comparisons/trace15.csv,ok,500000,0.19999963999999998,3.999999999976245e-07,3,851.9377174367779,5.757873931954638,CHECK,600,823,3037.667071706983,0.04341699999999982,0.0246,ok,001bc850e30bfbbdbbdf689b1d316087709b093523b755d6c23ebfbe64f4a9c1
chua/comparisons/trace16.csv,ok,500000,0.19999963999999998,3.999999999976245e-07,3,868.9075302335834,5.236860670606001,CHECK,600,815,3067.4846625949044,0.04341699999999982,0.0276,ok,629cbaf2e3282567885ac5d1d308f99b337dffdc07afcf3a94b236657b00de9b
chua/comparisons/trace17.csv,ok,500000,0.19999963999999998,3.999999999976245e-07,3,871.0085346090449,4.298681688120275,ok,599,819,3052.5030525211805,0.04341699999999982,2.0372,ok,1d56f675b8a0737efcfeebe086f3e5807014daf868879f924b10502d06f60420
chua/comparisons/trace18.csv,ok,500000,0.19999963999999998,3.999999999976245e-07,3,870.3736464907772,3.4826224915804436,ok,597,832,3004.807692325537,0.04341699999999982,0.0174,ok,1174300977d5b3a4d59218660751c8bbdb6d554bce70c4bf27fe4ae81e77b286
chua/comparisons/trace19.csv,ok,500000,0.19999963999999998,3.999999999976245e-07,3,867.2662250330186,2.9009391272114553,ok,597,834,2997.60191848303,0.04341699999999982,0.4792,ok,1794cdc1024238d3c385a24d773111546eb54e871ea34f281e5b071b8b8b3d0e
