filename,rpot_ohm,n_maxima,f0_hz,period_samples,sg_window,m_min,m_max,signal_range,clip_pct,status
trace129.csv,725.28,566,2812.0,888,45,-0.9992,-0.0224,3.5674,0.22,ok
trace130.csv,724.71,566,2812.0,888,45,-0.9981,-0.0222,3.5668,0.24,ok
trace131.csv,724.94,566,2821.6,885,45,-0.998,-0.0205,3.5674,0.27,ok
trace132.csv,724.7,566,2815.2,887,45,-0.9977,-0.0189,3.5678,0.04,ok
trace133.csv,723.93,566,2812.0,888,45,-0.9994,-0.0191,3.5645,0.29,ok
trace134.csv,723.5,566,2812.0,888,45,-1.0037,-0.013,3.5643,0.0,ok
trace135.csv,722.63,566,2808.9,889,45,-1.0027,-0.0126,3.5626,0.01,ok
trace136.csv,721.83,566,2818.4,886,45,-1.0122,-0.0,3.5624,0.07,ok
trace137.csv,721.14,566,2821.6,885,45,-1.0167,0.0036,3.5628,0.06,ok
trace138.csv,720.03,566,2818.4,886,45,-1.0218,0.0131,3.5643,0.0,ok
trace139.csv,719.14,566,2827.9,883,45,-1.0271,0.0188,3.561,0.1,ok
trace140.csv,718.6,570,2844.0,878,43,-1.0474,0.0396,3.5816,0.37,ok
trace141.csv,717.2,570,2866.9,871,43,-1.0511,0.0467,3.5804,0.1,ok
trace142.csv,717.02,570,2857.1,874,43,-1.0526,0.052,3.5785,0.2,ok
trace143.csv,715.81,570,2880.1,867,43,-1.0607,0.0617,3.5827,0.0,ok
trace144.csv,715.45,570,2876.8,868,43,-1.0631,0.0638,3.5801,0.42,ok
trace145.csv,714.52,570,2873.5,869,43,-1.0719,0.0687,3.5762,0.14,ok
trace146.csv,713.69,570,2870.2,870,43,-1.0758,0.0711,3.5722,0.03,ok
trace147.csv,713.58,570,2863.6,872,43,-1.0784,0.0729,3.5722,0.03,ok
trace148.csv,712.54,568,2831.1,882,45,-1.0847,0.0827,3.5714,0.24,ok
trace149.csv,712.06,568,2844.0,878,43,-1.0914,0.0885,3.5779,0.19,ok
trace150.csv,711.13,568,2837.6,880,45,-1.0969,0.0915,3.5701,0.03,ok
trace151.csv,710.21,566,2824.7,884,45,-1.1021,0.0948,3.5666,0.01,ok
trace152.csv,709.28,566,2831.1,882,45,-1.1085,0.106,3.5702,0.02,ok
trace153.csv,708.3,566,2824.7,884,45,-1.1234,0.1152,3.568,0.07,ok
trace154.csv,707.91,566,2844.0,878,43,-1.1246,0.1227,3.5703,0.01,ok
trace155.csv,706.36,567,2837.6,880,45,-1.1386,0.134,3.5774,0.03,ok
trace156.csv,705.6,567,2850.5,876,43,-1.1458,0.1388,3.5784,0.2,ok
trace157.csv,705.2,566,2844.0,878,43,-1.1532,0.1446,3.5774,0.07,ok
trace158.csv,704.84,567,2837.6,880,45,-1.1557,0.1482,3.5791,0.06,ok
trace159.csv,704.08,566,2847.3,877,43,-1.1611,0.1559,3.5783,0.02,ok
trace160.csv,703.52,566,2827.9,883,45,-1.1648,0.157,3.5777,0.0,ok
trace161.csv,702.56,567,2863.6,872,43,-1.178,0.165,3.5774,0.04,ok
trace162.csv,701.51,566,2850.5,876,43,-1.1823,0.1707,3.5789,0.12,ok
trace163.csv,703.36,566,2831.1,882,45,-1.2023,0.1793,3.574,0.04,ok
trace164.csv,699.74,568,2876.8,868,43,-1.2588,0.223,3.5918,0.1,ok
trace165.csv,698.31,569,2857.1,874,43,-1.2759,0.2302,3.5916,0.0,ok
trace166.csv,697.3,568,2853.8,875,43,-1.2847,0.2432,3.5977,0.03,ok
trace167.csv,698.83,572,2903.6,860,43,-1.2636,0.2325,3.5946,0.01,ok
trace168.csv,698.04,570,2893.5,863,43,-1.2765,0.234,3.5915,0.01,ok
trace169.csv,697.52,568,2857.1,874,43,-1.2821,0.2397,3.5931,0.12,ok
