sweep,filename,rpot_ohm,n_maxima,rpot_source,nominal_rpot_ohm,n_branches,n_slopes,unresolved_pct,cluster_pct,mean_T_us,median_T_us,mean_vs_median_pct,mean_ln_abs_fprime,lambda_map_per_s,lambda_map_err_per_s,lambda_map_err_stat,lambda_map_err_width,map_r2_within_branch,lambda_rosenstein_per_s,lambda_rosenstein_err_per_s,rosenstein_fit_r2,rosenstein_status,status
back,trace1.csv,2.7,1428,divider sidecar (R0=992 ohm),,0,0,,,349.9741,350.0,-0.01,,,,,,,3.37,0.68,0.0094,ok,map spread 0.078 V below --min-spread
back,trace2.csv,36.61,1426,divider sidecar (R0=992 ohm),,0,0,,,350.5782,351.0,-0.12,,,,,,,2.06,0.84,0.0041,ok,map spread 0.070 V below --min-spread
back,trace3.csv,66.62,1424,divider sidecar (R0=992 ohm),,0,0,,,351.0991,351.0,0.03,,,,,,,1.03,1.03,0.0012,ok,map spread 0.046 V below --min-spread
back,trace4.csv,101.13,1421,divider sidecar (R0=992 ohm),,0,0,,,351.7042,352.0,-0.08,,,,,,,3.75,1.12,0.016,ok,map spread 0.045 V below --min-spread
back,trace5.csv,133.37,1419,divider sidecar (R0=992 ohm),,0,0,,,352.2898,352.0,0.08,,,,,,,3.45,0.62,0.0147,ok,map spread 0.048 V below --min-spread
back,trace6.csv,170.61,1416,divider sidecar (R0=992 ohm),,0,0,,,353.0141,353.0,0.0,,,,,,,3.18,0.84,0.0106,ok,map spread 0.058 V below --min-spread
back,trace7.csv,200.96,1414,divider sidecar (R0=992 ohm),,0,0,,,353.644,354.0,-0.1,,,,,,,-1.02,1.39,0.0014,ok,map spread 0.063 V below --min-spread
back,trace8.csv,229.25,1411,divider sidecar (R0=992 ohm),,0,0,,,354.2043,354.0,0.06,,,,,,,4.08,0.78,0.0225,ok,map spread 0.072 V below --min-spread
back,trace9.csv,250.51,1410,divider sidecar (R0=992 ohm),,0,0,,,354.6728,355.0,-0.09,,,,,,,2.68,0.67,0.0094,ok,map spread 0.073 V below --min-spread
back,trace10.csv,277.79,1407,divider sidecar (R0=992 ohm),,0,0,,,355.3826,355.0,0.11,,,,,,,1.92,1.47,0.0076,ok,map spread 0.073 V below --min-spread
back,trace11.csv,319.46,1403,divider sidecar (R0=992 ohm),,0,0,,,356.4358,357.0,-0.16,,,,,,,3.88,0.92,0.0288,ok,map spread 0.055 V below --min-spread
back,trace12.csv,356.14,1399,divider sidecar (R0=992 ohm),,0,0,,,357.4657,357.0,0.13,,,,,,,2.87,0.97,0.0206,ok,map spread 0.049 V below --min-spread
back,trace13.csv,395.55,1394,divider sidecar (R0=992 ohm),,0,0,,,358.7107,358.01,0.2,,,,,,,4.22,1.17,0.0439,ok,map spread 0.058 V below --min-spread
back,trace14.csv,433.91,1388,divider sidecar (R0=992 ohm),,0,0,,,360.0894,360.0,0.02,,,,,,,3.4,0.88,0.0307,ok,map spread 0.065 V below --min-spread
back,trace15.csv,453.15,1386,divider sidecar (R0=992 ohm),,0,0,,,360.8043,361.0,-0.05,,,,,,,-0.02,1.15,0.0,ok,map spread 0.075 V below --min-spread
back,trace16.csv,469.73,1383,divider sidecar (R0=992 ohm),,0,0,,,361.4978,361.0,0.14,,,,,,,-1.83,1.0,0.0109,ok,map spread 0.063 V below --min-spread
back,trace17.csv,485.59,1380,divider sidecar (R0=992 ohm),,0,0,,,362.2574,362.0,0.07,,,,,,,2.13,1.09,0.0204,ok,map spread 0.058 V below --min-spread
back,trace18.csv,500.52,1377,divider sidecar (R0=992 ohm),,0,0,,,363.0392,363.0,0.01,,,,,,,4.42,0.68,0.0668,ok,map spread 0.054 V below --min-spread
back,trace19.csv,515.68,1374,divider sidecar (R0=992 ohm),,0,0,,,363.8485,364.0,-0.04,,,,,,,2.59,0.94,0.0344,ok,map spread 0.053 V below --min-spread
back,trace20.csv,533.05,1370,divider sidecar (R0=992 ohm),,0,0,,,364.9116,365.0,-0.02,,,,,,,1.17,0.58,0.0083,ok,map spread 0.047 V below --min-spread
back,trace21.csv,546.45,1367,divider sidecar (R0=992 ohm),,0,0,,,365.795,366.0,-0.06,,,,,,,-0.08,0.63,0.0,ok,map spread 0.049 V below --min-spread
back,trace22.csv,559.73,1363,divider sidecar (R0=992 ohm),,0,0,,,366.7651,367.0,-0.06,,,,,,,2.53,1.31,0.023,ok,map spread 0.058 V below --min-spread
