filename,rpot_ohm,residual_pct,status
trace1.csv,-2094.64,14.007,CHECK: not a clean divider
trace2.csv,-20304.42,11.319,CHECK: not a clean divider
trace3.csv,-7377.73,11.247,CHECK: not a clean divider
trace4.csv,44848.45,11.281,CHECK: not a clean divider
trace5.csv,20019.88,13.894,CHECK: not a clean divider
trace6.csv,30004.14,12.946,CHECK: not a clean divider
trace7.csv,96074.22,11.362,CHECK: not a clean divider
trace8.csv,39147.74,13.255,CHECK: not a clean divider
trace9.csv,4626.29,13.866,CHECK: not a clean divider
trace10.csv,5857.53,13.965,CHECK: not a clean divider
trace11.csv,1765.78,13.927,CHECK: not a clean divider
trace12.csv,777.69,7.996,CHECK: not a clean divider
trace13.csv,837.62,5.849,CHECK: not a clean divider
trace14.csv,870.5,4.532,ok
trace15.csv,881.24,3.962,ok
trace16.csv,887.71,3.351,ok
trace17.csv,891.03,2.777,ok
trace18.csv,891.18,2.43,ok
trace19.csv,886.75,2.1,ok
trace20.csv,886.16,1.793,ok
trace21.csv,885.56,1.716,ok
trace22.csv,886.8,1.609,ok
trace23.csv,886.28,1.465,ok
trace24.csv,889.84,1.383,ok
trace25.csv,886.37,1.195,ok
trace26.csv,884.81,1.08,ok
trace27.csv,882.19,1.008,ok
trace28.csv,879.88,0.961,ok
trace29.csv,877.59,0.893,ok
trace30.csv,875.85,0.847,ok
trace31.csv,873.7,0.807,ok
trace32.csv,872.39,0.755,ok
trace33.csv,870.74,0.72,ok
trace34.csv,868.34,0.663,ok
trace35.csv,867.4,0.634,ok
trace36.csv,863.69,0.585,ok
trace37.csv,867.49,0.592,ok
trace38.csv,864.81,0.542,ok
trace39.csv,862.94,0.517,ok
trace40.csv,860.39,0.505,ok
trace41.csv,854.29,0.467,ok
trace42.csv,852.85,0.447,ok
trace43.csv,862.13,0.465,ok
trace44.csv,844.53,0.459,ok
trace45.csv,840.53,0.458,ok
trace46.csv,837.81,0.46,ok
trace47.csv,834.98,0.458,ok
trace48.csv,830.85,0.459,ok
trace49.csv,828.92,0.459,ok
trace50.csv,825.96,0.461,ok
trace51.csv,818.55,0.48,ok
trace52.csv,816.17,0.486,ok
trace53.csv,810.33,0.495,ok
trace54.csv,804.36,0.498,ok
trace55.csv,800.72,0.493,ok
trace56.csv,794.62,0.503,ok
trace57.csv,791.62,0.508,ok
trace58.csv,787.77,0.509,ok
trace59.csv,783.5,0.514,ok
trace60.csv,780.09,0.515,ok
trace61.csv,779.78,0.578,ok
trace62.csv,773.79,0.577,ok
trace63.csv,777.62,0.582,ok
trace64.csv,779.93,0.578,ok
trace65.csv,781.94,0.576,ok
trace66.csv,783.01,0.578,ok
trace67.csv,774.55,0.589,ok
trace68.csv,773.58,0.573,ok
trace69.csv,772.74,0.582,ok
trace70.csv,771.84,0.571,ok
trace71.csv,771.46,0.577,ok
trace72.csv,770.49,0.575,ok
trace73.csv,770.17,0.576,ok
trace74.csv,769.54,0.575,ok
trace75.csv,768.68,0.57,ok
trace76.csv,767.58,0.573,ok
trace77.csv,766.42,0.573,ok
trace78.csv,764.95,0.576,ok
trace79.csv,764.17,0.575,ok
trace80.csv,762.18,0.572,ok
trace81.csv,761.05,0.574,ok
trace82.csv,760.17,0.573,ok
trace83.csv,759.48,0.571,ok
trace84.csv,757.98,0.574,ok
trace85.csv,756.35,0.572,ok
trace86.csv,754.07,0.572,ok
trace87.csv,754.84,0.569,ok
trace88.csv,754.6,0.577,ok
trace89.csv,753.26,0.575,ok
trace90.csv,752.57,0.569,ok
trace91.csv,751.11,0.57,ok
trace92.csv,749.48,0.578,ok
trace93.csv,748.96,0.576,ok
trace94.csv,750.29,0.575,ok
trace95.csv,749.25,0.575,ok
trace96.csv,748.57,0.574,ok
trace97.csv,747.66,0.574,ok
trace98.csv,746.83,0.576,ok
trace99.csv,746.2,0.576,ok
trace100.csv,744.64,0.576,ok
trace101.csv,743.71,0.575,ok
trace102.csv,743.31,0.574,ok
trace103.csv,742.48,0.575,ok
trace104.csv,741.82,0.572,ok
trace105.csv,740.89,0.572,ok
