sweep,filename,rpot_ohm,n_maxima,rpot_source,nominal_rpot_ohm,n_branches,n_slopes,unresolved_pct,cluster_pct,mean_T_us,median_T_us,mean_vs_median_pct,mean_ln_abs_fprime,lambda_map_per_s,lambda_map_err_per_s,lambda_map_err_stat,lambda_map_err_width,map_r2_within_branch,lambda_rosenstein_per_s,lambda_rosenstein_err_per_s,rosenstein_fit_r2,rosenstein_status,status
sweep forward,trace47.csv,766.53,567,divider fit (R0=990 ohm),,0,0,,,352.5936,352.8,-0.06,,,,,,,-13.0,1.05,0.2474,ok,map spans only 7 quantisation steps of 43 mV (under --min-steps)
sweep forward,trace48.csv,764.6,567,divider fit (R0=990 ohm),,0,0,,,352.6396,352.4,0.07,,,,,,,-19.16,2.4,0.4688,ok,map spans only 8 quantisation steps of 43 mV (under --min-steps)
sweep forward,trace49.csv,763.15,567,divider fit (R0=990 ohm),,0,0,,,352.742,353.0,-0.07,,,,,,,-6.3,1.48,0.1272,ok,map spans only 9 quantisation steps of 43 mV (under --min-steps)
sweep forward,trace50.csv,761.32,567,divider fit (R0=990 ohm),,0,0,,,352.7965,353.195,-0.11,,,,,,,0.03,0.84,0.0,ok,map spans only 9 quantisation steps of 43 mV (under --min-steps)
sweep forward,trace51.csv,758.96,566,divider fit (R0=990 ohm),,0,0,,,352.9019,351.6,0.37,,,,,,,-3.72,1.33,0.0574,ok,map spans only 10 quantisation steps of 43 mV (under --min-steps)
sweep forward,trace52.csv,756.37,566,divider fit (R0=990 ohm),,0,0,,,353.0124,355.99,-0.84,,,,,,,6.9,0.9,0.2035,ok,map spans only 11 quantisation steps of 43 mV (under --min-steps)
sweep forward,trace53.csv,750.88,566,divider fit (R0=990 ohm),,0,0,,,353.2071,351.59,0.46,,,,,,,43.43,3.11,0.7181,ok,map spans only 12 quantisation steps of 43 mV (under --min-steps)
sweep forward,trace54.csv,749.08,566,divider fit (R0=990 ohm),,0,0,,,353.2552,350.0,0.92,,,,,,,-71.76,5.14,0.3746,ok,map spans only 14 quantisation steps of 43 mV (under --min-steps)
sweep forward,trace55.csv,746.24,566,divider fit (R0=990 ohm),,0,0,,,353.469,352.8,0.19,,,,,,,-63.65,3.12,0.3513,ok,map spans only 15 quantisation steps of 43 mV (under --min-steps)
sweep forward,trace56.csv,744.75,566,divider fit (R0=990 ohm),,0,0,,,353.6028,353.2,0.11,,,,,,,-50.98,3.57,0.3593,ok,map spans only 16 quantisation steps of 43 mV (under --min-steps)
sweep forward,trace57.csv,742.98,566,divider fit (R0=990 ohm),,0,0,,,353.7019,354.01,-0.09,,,,,,,-27.39,1.49,0.0796,ok,map spans only 17 quantisation steps of 43 mV (under --min-steps)
sweep forward,trace58.csv,742.08,566,divider fit (R0=990 ohm),,0,0,,,353.7642,356.01,-0.63,,,,,,,-48.72,3.77,0.142,ok,map spans only 17 quantisation steps of 43 mV (under --min-steps)
sweep forward,trace59.csv,740.83,565,divider fit (R0=990 ohm),,0,0,,,353.8652,355.995,-0.6,,,,,,,-10.58,2.21,0.0053,ok,map spans only 18 quantisation steps of 43 mV (under --min-steps)
sweep forward,trace60.csv,740.08,565,divider fit (R0=990 ohm),,0,0,,,353.8426,356.2,-0.67,,,,,,,52.39,4.49,0.0868,ok,map spans only 18 quantisation steps of 43 mV (under --min-steps)
sweep forward,trace61.csv,738.86,565,divider fit (R0=990 ohm),,0,0,,,353.9532,356.805,-0.81,,,,,,,59.83,7.98,0.109,ok,map spans only 19 quantisation steps of 43 mV (under --min-steps)
sweep forward,trace62.csv,737.8,564,divider fit (R0=990 ohm),,0,0,,,354.0711,356.4,-0.66,,,,,,,113.85,8.16,0.298,ok,map spans only 19 quantisation steps of 43 mV (under --min-steps)
sweep forward,trace63.csv,736.86,564,divider fit (R0=990 ohm),,0,0,,,354.432,357.2,-0.78,,,,,,,50.09,13.55,0.1642,ok,map spans only 19 quantisation steps of 43 mV (under --min-steps)
sweep forward,trace64.csv,735.3,564,divider fit (R0=990 ohm),,0,0,,,354.6096,356.8,-0.62,,,,,,,159.97,11.91,0.4677,ok,map spans only 20 quantisation steps of 43 mV (under --min-steps)
sweep forward,trace65.csv,733.68,564,divider fit (R0=990 ohm),,0,0,,,354.6323,356.8,-0.61,,,,,,,220.35,4.65,0.6045,ok,map spans only 20 quantisation steps of 43 mV (under --min-steps)
sweep forward,trace66.csv,732.22,564,divider fit (R0=990 ohm),,0,0,,,354.8419,357.2,-0.66,,,,,,,253.32,3.78,0.6535,ok,map spans only 21 quantisation steps of 43 mV (under --min-steps)
sweep forward,trace67.csv,730.36,563,divider fit (R0=990 ohm),,0,0,,,355.1936,357.1925,-0.56,,,,,,,315.53,5.9,0.7401,ok,map spans only 21 quantisation steps of 43 mV (under --min-steps)
sweep forward,trace68.csv,727.48,563,divider fit (R0=990 ohm),,0,0,,,355.1615,358.205,-0.86,,,,,,,384.4,8.96,0.8403,ok,map spans only 21 quantisation steps of 43 mV (under --min-steps)
sweep forward,trace69.csv,722.56,563,divider fit (R0=990 ohm),,0,0,,,355.131,358.41,-0.92,,,,,,,396.51,6.62,0.9085,ok,map spans only 22 quantisation steps of 43 mV (under --min-steps)
sweep forward,trace70.csv,715.53,562,divider fit (R0=990 ohm),,0,0,,,355.302,358.8,-0.98,,,,,,,526.25,23.39,0.9401,ok,map spans only 24 quantisation steps of 43 mV (under --min-steps)
