rpot_ohm,initial_v1_V,max_v
300.0,1,6.9211858303148945
300.0,1,6.921188710043882
300.0,1,6.921190022565302
300.0,1,6.921193724986959
300.0,1,6.921193094053685
300.0,1,6.921189676484299
300.0,1,6.92118759916966
300.0,1,6.921184694834946
300.0,1,6.921175879373017
300.0,1,6.921163963164595
300.0,1,6.9211651881822585
300.0,1,6.921168678036171
300.0,1,6.921175097688462
300.0,1,6.921182227715486
300.0,1,6.921185093324152
300.0,1,6.921189586118634
300.0,1,6.921190256336199
300.0,1,6.921194591709462
300.0,1,6.92119053748141
300.0,1,6.921188433233625
300.0,1,6.921186817550498
300.0,1,6.921181899198176
300.0,1,6.921171990799644
300.0,1,6.92116310256864
300.0,1,6.921166543319801
300.0,1,6.921170759086725
300.0,1,6.921177444001459
300.0,1,6.921184684035974
300.0,1,6.921186905236038
300.0,1,6.921189966207937
300.0,1,6.921191942156214
300.0,1,6.921194745086499
300.0,1,6.921189608432894
300.0,1,6.921187787400457
300.0,1,6.921186320713054
300.0,1,6.921179254002944
300.0,1,6.9211681961729665
300.0,1,6.921164366397496
300.0,1,6.921167702586029
300.0,1,6.921173198260682
300.0,1,6.921179932458399
300.0,1,6.921185816725358
300.0,1,6.921188654558206
300.0,1,6.921190027406144
300.0,1,6.921193685941117
300.0,1,6.921193195236165
300.0,1,6.921189711122883
300.0,1,6.921187624009193
300.0,1,6.921184805304275
300.0,1,6.921176034970029
300.0,1,6.921164141569528
300.0,1,6.921165163675841
300.0,1,6.9211686430300015
300.0,1,6.921175024559165
300.0,1,6.921182137471455
300.0,1,6.921185174596942
300.0,1,6.921189573323828
300.0,1,6.921190217723139
300.0,1,6.921194588931493
300.0,1,6.921190659669532
300.0,1,6.921188499096147
300.0,1,6.921186856490894
300.0,1,6.9211820184148065
300.0,1,6.92117215432851
300.0,1,6.921163050984736
300.0,1,6.92116649524593
300.0,1,6.921170627664433
300.0,1,6.921177325935026
300.0,1,6.921184572602362
300.0,1,6.921186798915228
300.0,1,6.921189948045994
300.0,1,6.921191857104129
300.0,1,6.9211947422144915
300.0,1,6.921189559102956
300.0,1,6.921187773082969
300.0,1,6.921186321469902
300.0,1,6.921179356664298
300.0,1,6.921168347953146
300.0,1,6.921164314111041
300.0,1,6.921167655081857
300.0,1,6.921173101956223
300.0,1,6.921179832720041
300.0,1,6.9211858011996314
300.0,1,6.921188598101958
300.0,1,6.921190031834039
300.0,1,6.921193629808018
300.0,1,6.92119328842938
300.0,1,6.921189742044486
300.0,1,6.921187647112432
300.0,1,6.921184914903531
300.0,1,6.921176190096651
300.0,1,6.921164319688378
300.0,1,6.92116513910404
300.0,1,6.921168608008249
300.0,1,6.921174951458776
300.0,1,6.921182047276707
300.0,1,6.921185255813945
300.0,1,6.9211895605353675
300.0,1,6.921190179133888
300.0,1,6.921194586154899
300.0,1,6.921190781779438
300.0,1,6.921188564916526
300.0,1,6.921186895406384
301.0,1,6.920675072719032
301.0,1,6.920664279178068
301.0,1,6.9206544778914685
301.0,1,6.920657158830735
301.0,1,6.920665234862785
301.0,1,6.920673685894415
301.0,1,6.920671931775621
301.0,1,6.920675301804989
301.0,1,6.920678766517789
301.0,1,6.920677874638724
301.0,1,6.920676749255805
301.0,1,6.920667701170543
301.0,1,6.920653536450634
301.0,1,6.9206560896957985
301.0,1,6.920663282113008
301.0,1,6.9206722620802745
301.0,1,6.920669954979285
301.0,1,6.9206738444499285
301.0,1,6.920679409513901
301.0,1,6.920677468484482
301.0,1,6.920676734300137
301.0,1,6.920670357704195
301.0,1,6.920657190863579
301.0,1,6.9206564409635325
301.0,1,6.9206614899536305
301.0,1,6.92066995650347
301.0,1,6.920671813572766
301.0,1,6.920673499238349
301.0,1,6.920678735023984
301.0,1,6.920675920146809
301.0,1,6.920676205196966
301.0,1,6.92067263272682
301.0,1,6.92066089124246
