sweep,filename,rpot_ohm,n_maxima,rpot_source,nominal_rpot_ohm,n_branches,n_slopes,unresolved_pct,cluster_pct,mean_T_us,median_T_us,mean_vs_median_pct,mean_ln_abs_fprime,lambda_map_per_s,lambda_map_err_per_s,lambda_map_err_stat,lambda_map_err_width,map_r2_within_branch,lambda_rosenstein_per_s,lambda_rosenstein_err_per_s,rosenstein_fit_r2,rosenstein_status,status
sweep back,trace34.csv,716.63,558,divider fit (R0=990 ohm),,0,0,,,358.3971,361.59,-0.89,,,,,,,468.09,4.25,0.9414,ok,map spans only 12 quantisation steps of 88 mV (under --min-steps)
sweep back,trace35.csv,720.56,558,divider fit (R0=990 ohm),,0,0,,,358.6298,360.8,-0.61,,,,,,,410.62,28.42,0.8955,ok,map spans only 12 quantisation steps of 88 mV (under --min-steps)
sweep back,trace36.csv,723.37,558,divider fit (R0=990 ohm),,0,0,,,358.6873,361.19,-0.7,,,,,,,411.38,14.32,0.8905,ok,map spans only 11 quantisation steps of 88 mV (under --min-steps)
sweep back,trace37.csv,728.31,558,divider fit (R0=990 ohm),,0,0,,,358.5652,361.19,-0.73,,,,,,,335.06,24.44,0.8162,ok,map spans only 10 quantisation steps of 88 mV (under --min-steps)
sweep back,trace38.csv,733.39,558,divider fit (R0=990 ohm),,0,0,,,358.4273,360.0,-0.44,,,,,,,284.21,8.19,0.7272,ok,map spans only 10 quantisation steps of 88 mV (under --min-steps)
sweep back,trace39.csv,738.04,559,divider fit (R0=990 ohm),,0,0,,,357.6036,359.595,-0.56,,,,,,,86.37,22.22,0.2353,ok,map spans only 10 quantisation steps of 88 mV (under --min-steps)
sweep back,trace40.csv,740.99,560,divider fit (R0=990 ohm),,0,0,,,357.0684,358.01,-0.26,,,,,,,24.53,12.17,0.024,ok,map spans only 9 quantisation steps of 88 mV (under --min-steps)
sweep back,trace41.csv,742.43,560,divider fit (R0=990 ohm),,0,0,,,356.9903,357.2,-0.06,,,,,,,-75.35,2.18,0.2374,ok,map spans only 9 quantisation steps of 88 mV (under --min-steps)
sweep back,trace42.csv,750.14,561,divider fit (R0=990 ohm),,0,0,,,356.4479,357.4,-0.27,,,,,,,-151.32,2.8,0.5968,ok,map spans only 7 quantisation steps of 88 mV (under --min-steps)
sweep back,trace43.csv,755.6,562,divider fit (R0=990 ohm),,0,0,,,356.144,356.8,-0.18,,,,,,,6.63,1.54,0.1862,ok,map spans only 6 quantisation steps of 88 mV (under --min-steps)
