rpot_ohm,initial_v1_V,max_v
300.0,1,7.013347334263942
300.0,1,7.013340251246319
300.0,1,7.013355581383202
300.0,1,7.013346095969254
300.0,1,7.013353150318148
300.0,1,7.013341152807188
300.0,1,7.013339324419461
300.0,1,7.013329258765599
300.0,1,7.0133318279725625
300.0,1,7.013335185407796
300.0,1,7.0133355935781845
300.0,1,7.013345839775679
300.0,1,7.013340245379361
300.0,1,7.013354967060125
300.0,1,7.013346614543882
300.0,1,7.013353973280933
300.0,1,7.013342091064699
300.0,1,7.013341977802448
300.0,1,7.013329229825393
300.0,1,7.013331404886034
300.0,1,7.013333874164443
300.0,1,7.013334931162818
300.0,1,7.0133443362873455
300.0,1,7.013339994234995
300.0,1,7.013354243191829
300.0,1,7.013346618332702
300.0,1,7.013354716715866
300.0,1,7.013342913863006
300.0,1,7.013344604740597
300.0,1,7.013330480823689
300.0,1,7.013331591717081
300.0,1,7.0133328548340925
300.0,1,7.013334413431071
300.0,1,7.013342911241831
300.0,1,7.01333947228035
300.0,1,7.013353384920371
300.0,1,7.013346112485864
300.0,1,7.013355216465692
300.0,1,7.013343488682328
300.0,1,7.013346946987104
300.0,1,7.013332701580069
300.0,1,7.013332243158941
300.0,1,7.013331895705926
300.0,1,7.01333394651451
300.0,1,7.013341525745745
300.0,1,7.0133387796242825
300.0,1,7.013352340016594
300.0,1,7.01334545557245
300.0,1,7.013355637553011
300.0,1,7.0133441265424095
300.0,1,7.013348714710526
300.0,1,7.013334777154474
300.0,1,7.013332826714963
300.0,1,7.0133308964790215
300.0,1,7.013333460635347
300.0,1,7.0133401334823535
300.0,1,7.013338083832509
300.0,1,7.013351105976427
300.0,1,7.013343772545272
300.0,1,7.013356099291465
300.0,1,7.013344883533412
300.0,1,7.013350544784532
300.0,1,7.013336887086624
300.0,1,7.013333425732306
300.0,1,7.013329899626292
300.0,1,7.013332975831434
300.0,1,7.0133387372504155
300.0,1,7.013337386020933
300.0,1,7.013349854134485
300.0,1,7.0133420798644455
300.0,1,7.013356348308559
300.0,1,7.013345543129373
300.0,1,7.013352337745786
300.0,1,7.013338987709115
300.0,1,7.013334836921822
300.0,1,7.01332929529801
300.0,1,7.013332533429721
300.0,1,7.013337386848822
300.0,1,7.013336705790407
300.0,1,7.013348366467378
300.0,1,7.013340283713809
300.0,1,7.013355946586028
300.0,1,7.013345894226319
300.0,1,7.013352841021484
300.0,1,7.013340387026828
300.0,1,7.01333744041536
300.0,1,7.013329251937325
300.0,1,7.01333210655543
300.0,1,7.013336082066029
300.0,1,7.013336046742455
300.0,1,7.013346873396467
300.0,1,7.013340264507954
300.0,1,7.013355398300571
300.0,1,7.013346230676325
300.0,1,7.0133533255649265
300.0,1,7.013341435770279
300.0,1,7.013340141337749
300.0,1,7.013329248192622
300.0,1,7.013331696402205
300.0,1,7.013334779662574
300.0,1,7.013335388614882
300.0,1,7.013345374877391
300.0,1,7.013340184126216
301.0,1,7.012839608070356
301.0,1,7.012833822464645
301.0,1,7.012844581796461
301.0,1,7.012836257196344
301.0,1,7.012849655843009
301.0,1,7.012839928170337
301.0,1,7.0128537138293385
301.0,1,7.012846020778783
301.0,1,7.01285523684726
301.0,1,7.012848520934202
301.0,1,7.012853560841407
301.0,1,7.01284577585312
301.0,1,7.012849723613282
301.0,1,7.012842187586955
301.0,1,7.012845715647466
301.0,1,7.012838588897545
301.0,1,7.012838306826378
301.0,1,7.012831134196896
301.0,1,7.012827713595618
301.0,1,7.012823957092226
301.0,1,7.012824254911864
301.0,1,7.012826269638846
301.0,1,7.012826584632903
301.0,1,7.0128314040541095
301.0,1,7.012829803596483
301.0,1,7.0128365213452195
301.0,1,7.012832303625895
301.0,1,7.01284147220593
301.0,1,7.0128347348381554
301.0,1,7.012846475716473
301.0,1,7.012837184539913
301.0,1,7.012851466443236
301.0,1,7.012842597823761
301.0,1,7.0128544805589295
301.0,1,7.01284780153959
301.0,1,7.012855570760736
301.0,1,7.012848043983439
301.0,1,7.012852369032791
301.0,1,7.012844500989017
301.0,1,7.0128484996484275
301.0,1,7.0128411638614105
301.0,1,7.01284334734207
301.0,1,7.012836072650813
301.0,1,7.012834390168084
301.0,1,7.012827766912089
301.0,1,7.012825308285203
301.0,1,7.012824313562399
301.0,1,7.012824890170178
301.0,1,7.0128280938448695
301.0,1,7.012827926266257
301.0,1,7.012833391071315
301.0,1,7.012830764536864
301.0,1,7.012838399314298
301.0,1,7.012833228204878
301.0,1,7.01284336341407
301.0,1,7.012835660695938
301.0,1,7.012848408893175
301.0,1,7.012837970841585
301.0,1,7.012853003282176
301.0,1,7.012844772594474
301.0,1,7.012854978232646
301.0,1,7.0128483274827
301.0,1,7.012854521125352
301.0,1,7.01284668933441
301.0,1,7.012850768381894
301.0,1,7.012843038403886
301.0,1,7.012847271565053
301.0,1,7.012839960775504
301.0,1,7.0128407154681405
301.0,1,7.012833251568026
301.0,1,7.012830370473187
301.0,1,7.01282483590362
301.0,1,7.012824380057622
301.0,1,7.012825377724472
301.0,1,7.012825864392629
301.0,1,7.012830090615109
301.0,1,7.012829181515925
301.0,1,7.012835339162317
301.0,1,7.012831721801861
301.0,1,7.012840287762605
301.0,1,7.012834155084175
301.0,1,7.012845270052104
301.0,1,7.012836594185172
301.0,1,7.01285036173866
301.0,1,7.012840960434677
301.0,1,7.012854041814044
301.0,1,7.012846692393211
301.0,1,7.0128553687508814
301.0,1,7.012848623458285
301.0,1,7.012853255450012
301.0,1,7.012845370621755
301.0,1,7.012849206262541
301.0,1,7.012841780019825
301.0,1,7.012844833385801
301.0,1,7.012837759257986
301.0,1,7.012836913498386
301.0,1,7.012829918925484
301.0,1,7.012826648258377
301.0,1,7.012823998991278
301.0,1,7.01282444501366
301.0,1,7.0128269157736165
301.0,1,7.0128270649889
301.0,1,7.012832143584304
302.0,1,7.012336276827387
302.0,1,7.012328292129252
302.0,1,7.012334492718985
302.0,1,7.012327359306406
302.0,1,7.012332564279199
302.0,1,7.012325997691427
302.0,1,7.012330290487453
302.0,1,7.01232442077029
302.0,1,7.012327874551098
302.0,1,7.012322764037313
302.0,1,7.012325379225648
302.0,1,7.012321056899123
302.0,1,7.012322817308379
302.0,1,7.012319305096013
302.0,1,7.012320917610863
302.0,1,7.012319205065865
302.0,1,7.012322311184043
302.0,1,7.012322910010906
302.0,1,7.012325766871874
302.0,1,7.012327428753985
302.0,1,7.012329513574116
302.0,1,7.012331922396405
302.0,1,7.012333097930086
302.0,1,7.012335599145224
302.0,1,7.01233579657763
302.0,1,7.012338513589735
302.0,1,7.012337689673107
302.0,1,7.012340856076466
302.0,1,7.012339174256416
302.0,1,7.012342148838104
302.0,1,7.012340198005877
302.0,1,7.012342997930087
302.0,1,7.012341164410344
302.0,1,7.012344174434905
302.0,1,7.012342275377688
302.0,1,7.012345434332568
302.0,1,7.012343414843454
302.0,1,7.012346693027431
302.0,1,7.012344543956785
302.0,1,7.01234793230516
302.0,1,7.012345709071113
302.0,1,7.012349458690316
302.0,1,7.012347209750527
302.0,1,7.012351212288915
302.0,1,7.01234803968746
302.0,1,7.012352171687031
302.0,1,7.012348434910074
302.0,1,7.012352703872043
302.0,1,7.012348617918308
302.0,1,7.012353135885157
302.0,1,7.012347918431278
302.0,1,7.012353150459411
302.0,1,7.012347016931616
302.0,1,7.012353070826538
302.0,1,7.012346066009662
302.0,1,7.012352963671208
302.0,1,7.012345093078392
302.0,1,7.012352783629187
302.0,1,7.012343905560506
302.0,1,7.012352345586831
302.0,1,7.012342441623661
302.0,1,7.012351750009233
302.0,1,7.012340563797832
302.0,1,7.012350739403747
302.0,1,7.012338198782758
302.0,1,7.012349463061417
302.0,1,7.012335604629776
302.0,1,7.012348073467615
302.0,1,7.0123339830631535
302.0,1,7.012346626276395
302.0,1,7.012333286567875
302.0,1,7.012345132954403
302.0,1,7.012332567898974
302.0,1,7.012343595085028
302.0,1,7.012331827797621
302.0,1,7.012342012018778
302.0,1,7.0123310659466105
302.0,1,7.012340382578812
302.0,1,7.0123302802985235
302.0,1,7.0123387029316415
302.0,1,7.012329466911828
302.0,1,7.0123369778989
302.0,1,7.012328631603151
302.0,1,7.012335210621598
302.0,1,7.012327775851043
302.0,1,7.01233339954077
302.0,1,7.01232658973907
302.0,1,7.012331226729188
302.0,1,7.01232506554682
302.0,1,7.012328852043881
302.0,1,7.01232343338151
302.0,1,7.012326385124006
302.0,1,7.012321744853557
302.0,1,7.012323849228858
302.0,1,7.012320010660851
302.0,1,7.012321248333556
302.0,1,7.012318734155827
302.0,1,7.012321383670796
302.0,1,7.0123212738349965
302.0,1,7.012324324012947
302.0,1,7.012325614067069
302.0,1,7.012328023646806
302.0,1,7.012330149872542
303.0,1,7.01182299637238
303.0,1,7.011820746115959
303.0,1,7.01182944548744
303.0,1,7.011833607459637
303.0,1,7.0118384253156245
303.0,1,7.011841325395017
303.0,1,7.011844805407465
303.0,1,7.011848045182145
303.0,1,7.011843948138238
303.0,1,7.011848818188089
303.0,1,7.011834536550668
303.0,1,7.0118435294071855
303.0,1,7.0118279520935145
303.0,1,7.011836106706118
303.0,1,7.011823697625039
303.0,1,7.011826929291243
303.0,1,7.011817765534343
303.0,1,7.011825260179256
303.0,1,7.0118286923305915
303.0,1,7.011834916845396
303.0,1,7.011838036695543
303.0,1,7.011842393863954
303.0,1,7.011846029481266
303.0,1,7.011845184410659
303.0,1,7.011849388310502
303.0,1,7.011839228477284
303.0,1,7.011846082512129
303.0,1,7.011829157576018
303.0,1,7.0118391782550304
303.0,1,7.0118258884770075
303.0,1,7.011830854982488
303.0,1,7.011819895027476
303.0,1,7.011823293681504
303.0,1,7.011823497064889
303.0,1,7.011831624509636
303.0,1,7.011835023648119
303.0,1,7.011839727551399
303.0,1,7.011842992814951
303.0,1,7.011845540738351
303.0,1,7.011848841209565
303.0,1,7.0118429204714285
303.0,1,7.011848159637385
303.0,1,7.011831942558468
303.0,1,7.011842129757567
303.0,1,7.011827291070056
303.0,1,7.011834501164913
303.0,1,7.011822483950461
303.0,1,7.011824867461026
303.0,1,7.011819086581094
303.0,1,7.0118273818426715
303.0,1,7.011831372011555
303.0,1,7.0118367589395145
303.0,1,7.011839737892721
303.0,1,7.011844109304881
303.0,1,7.011847284587533
303.0,1,7.01184467789853
303.0,1,7.01184926442004
303.0,1,7.011836934871005
303.0,1,7.011844829098928
303.0,1,7.011828565832532
303.0,1,7.011837635681446
303.0,1,7.01182487019153
303.0,1,7.011828910292322
303.0,1,7.011818537379503
303.0,1,7.011824159937332
303.0,1,7.011826467810207
303.0,1,7.011833458261566
303.0,1,7.011836529309419
303.0,1,7.011841063225691
303.0,1,7.011844832365835
303.0,1,7.011845706292219
303.0,1,7.011849335437846
303.0,1,7.0118413459561735
303.0,1,7.011847249933073
303.0,1,7.011829708584147
303.0,1,7.011840682373282
303.0,1,7.011826603759774
303.0,1,7.011832694964376
303.0,1,7.0118211972196365
303.0,1,7.011822993196674
303.0,1,7.0118208140011715
303.0,1,7.011829505438557
303.0,1,7.011833646052846
303.0,1,7.011838460355292
303.0,1,7.011841364042951
303.0,1,7.011844822164498
303.0,1,7.011848065033854
303.0,1,7.011843926563195
303.0,1,7.011848803253871
303.0,1,7.011834468899929
303.0,1,7.01184349282719
303.0,1,7.011827934818648
303.0,1,7.011836064220297
303.0,1,7.011823665080391
303.0,1,7.011826874382446
303.0,1,7.011817754059947
303.0,1,7.011825295156063
303.0,1,7.011828754693967
303.0,1,7.011834957547402
303.0,1,7.011838078482502
303.0,1,7.011842430654782
303.0,1,7.0118460588693186
303.0,1,7.011845168266719
304.0,1,7.011330352865642
304.0,1,7.011332421439822
304.0,1,7.011342058860051
304.0,1,7.011344198154387
304.0,1,7.011335242979974
304.0,1,7.01134018170254
