filename,rpot_ohm,residual_pct,status
trace1.csv,-2682.74,10.915,CHECK: not a clean divider
trace2.csv,-2242.8,13.188,CHECK: not a clean divider
trace3.csv,-2453.55,11.2,CHECK: not a clean divider
trace4.csv,-3466.13,10.837,CHECK: not a clean divider
trace5.csv,2616.32,10.776,CHECK: not a clean divider
trace6.csv,781.76,8.421,CHECK: not a clean divider
trace7.csv,839.69,7.094,CHECK: not a clean divider
trace8.csv,864.98,6.205,CHECK: not a clean divider
trace9.csv,881.4,4.925,ok
trace10.csv,885.11,4.499,ok
trace11.csv,888.59,3.931,ok
trace12.csv,891.05,3.739,ok
trace13.csv,895.46,3.268,ok
trace14.csv,896.32,2.964,ok
trace15.csv,896.28,2.664,ok
trace16.csv,897.79,2.601,ok
trace17.csv,901.43,2.314,ok
trace18.csv,900.6,2.142,ok
trace19.csv,903.37,1.868,ok
trace20.csv,902.7,1.822,ok
trace21.csv,900.53,1.642,ok
trace22.csv,897.52,1.56,ok
trace23.csv,897.29,1.388,ok
trace24.csv,895.8,1.296,ok
trace25.csv,893.0,1.186,ok
trace26.csv,889.78,0.988,ok
trace27.csv,887.49,0.941,ok
trace28.csv,885.5,0.872,ok
trace29.csv,881.28,0.736,ok
trace30.csv,878.72,0.645,ok
trace31.csv,873.61,0.587,ok
trace32.csv,869.73,0.558,ok
trace33.csv,866.02,0.512,ok
trace34.csv,868.23,0.517,ok
trace35.csv,864.99,0.497,ok
trace36.csv,857.0,0.456,ok
trace37.csv,853.32,0.424,ok
trace38.csv,851.17,0.439,ok
trace39.csv,844.4,0.441,ok
trace40.csv,839.17,0.438,ok
trace41.csv,829.9,0.448,ok
trace42.csv,820.0,0.452,ok
trace43.csv,810.17,0.455,ok
trace44.csv,800.59,0.466,ok
trace45.csv,789.81,0.478,ok
trace46.csv,779.02,0.483,ok
trace47.csv,779.48,0.485,ok
trace48.csv,778.08,0.484,ok
trace49.csv,778.37,0.478,ok
trace50.csv,777.45,0.479,ok
trace51.csv,776.57,0.477,ok
trace52.csv,776.0,0.479,ok
trace53.csv,775.39,0.475,ok
trace54.csv,773.76,0.477,ok
trace55.csv,772.26,0.478,ok
trace56.csv,770.8,0.477,ok
trace57.csv,769.13,0.477,ok
trace58.csv,768.16,0.476,ok
trace59.csv,767.67,0.476,ok
trace60.csv,766.27,0.472,ok
trace61.csv,763.47,0.478,ok
trace62.csv,760.49,0.478,ok
trace63.csv,757.51,0.481,ok
trace64.csv,756.73,0.48,ok
trace65.csv,756.52,0.479,ok
trace66.csv,756.27,0.481,ok
trace67.csv,755.85,0.481,ok
trace68.csv,755.59,0.479,ok
trace69.csv,755.24,0.478,ok
trace70.csv,754.75,0.48,ok
trace71.csv,754.5,0.48,ok
trace72.csv,753.95,0.478,ok
trace73.csv,753.24,0.486,ok
trace74.csv,752.41,0.485,ok
trace75.csv,751.96,0.484,ok
trace76.csv,751.04,0.488,ok
trace77.csv,750.44,0.491,ok
trace78.csv,750.1,0.482,ok
trace79.csv,750.17,0.483,ok
trace80.csv,749.95,0.484,ok
trace81.csv,749.59,0.485,ok
trace82.csv,749.46,0.481,ok
trace83.csv,749.01,0.481,ok
trace84.csv,748.64,0.479,ok
trace85.csv,748.34,0.475,ok
trace86.csv,747.91,0.479,ok
trace87.csv,746.92,0.478,ok
trace88.csv,747.36,0.479,ok
trace89.csv,747.04,0.478,ok
trace90.csv,746.2,0.474,ok
trace91.csv,745.82,0.483,ok
trace92.csv,745.43,0.477,ok
trace93.csv,744.2,0.482,ok
trace94.csv,743.24,0.477,ok
trace95.csv,742.48,0.475,ok
trace96.csv,741.58,0.48,ok
trace97.csv,740.49,0.481,ok
trace98.csv,738.12,0.476,ok
trace99.csv,736.37,0.482,ok
trace100.csv,734.36,0.482,ok
trace101.csv,731.96,0.482,ok
trace102.csv,730.19,0.483,ok
trace103.csv,728.44,0.482,ok
trace104.csv,728.07,0.477,ok
trace105.csv,726.25,0.483,ok
trace106.csv,726.25,0.478,ok
trace107.csv,725.91,0.484,ok
trace108.csv,724.81,0.481,ok
trace109.csv,724.45,0.484,ok
trace110.csv,723.8,0.484,ok
trace111.csv,723.64,0.488,ok
trace112.csv,721.42,0.483,ok
trace113.csv,719.81,0.483,ok
trace114.csv,717.43,0.484,ok
trace115.csv,713.41,0.488,ok
trace116.csv,707.04,0.49,ok
trace117.csv,698.38,0.49,ok
trace118.csv,692.67,0.487,ok
trace119.csv,678.95,0.509,ok
trace120.csv,690.99,0.533,ok
trace121.csv,689.9,0.532,ok
trace122.csv,688.92,0.532,ok
trace123.csv,685.83,0.532,ok
trace124.csv,682.56,0.538,ok
trace125.csv,680.84,0.54,ok
trace126.csv,679.57,0.542,ok
trace127.csv,675.04,0.543,ok
trace128.csv,673.15,0.543,ok
trace129.csv,670.07,0.549,ok
trace130.csv,666.74,0.553,ok
trace131.csv,663.44,0.553,ok
trace132.csv,657.58,0.554,ok
trace133.csv,649.64,0.566,ok
trace134.csv,644.47,0.572,ok
trace135.csv,641.52,0.578,ok
trace136.csv,636.0,0.579,ok
trace137.csv,630.55,0.592,ok
trace138.csv,625.45,0.59,ok
trace139.csv,616.58,0.598,ok
trace140.csv,610.17,0.604,ok
trace141.csv,606.09,0.611,ok
trace142.csv,604.24,0.619,ok
trace143.csv,598.78,0.619,ok
trace144.csv,595.64,0.627,ok
trace145.csv,593.12,0.627,ok
trace146.csv,590.28,0.628,ok
trace147.csv,584.08,0.634,ok
trace148.csv,579.79,0.643,ok
trace149.csv,574.77,0.642,ok
trace150.csv,566.7,0.658,ok
trace151.csv,563.74,0.659,ok
trace152.csv,560.68,0.658,ok
trace153.csv,555.97,0.675,ok
trace154.csv,554.32,0.675,ok
trace155.csv,551.02,0.675,ok
trace156.csv,545.38,0.675,ok
trace157.csv,539.45,0.421,ok
trace158.csv,533.46,0.431,ok
trace159.csv,527.54,0.43,ok
trace160.csv,522.41,0.436,ok
trace161.csv,518.64,0.439,ok
trace162.csv,515.68,0.438,ok
trace163.csv,512.28,0.444,ok
trace164.csv,510.39,0.449,ok
trace165.csv,507.35,0.45,ok
trace166.csv,505.29,0.456,ok
trace167.csv,502.73,0.457,ok
trace168.csv,500.13,0.456,ok
trace169.csv,498.71,0.461,ok
trace170.csv,496.33,0.463,ok
trace171.csv,494.83,0.467,ok
trace172.csv,493.26,0.467,ok
trace173.csv,490.55,0.469,ok
trace174.csv,487.24,0.472,ok
trace175.csv,484.73,0.478,ok
trace176.csv,482.2,0.476,ok
trace177.csv,478.83,0.484,ok
trace178.csv,477.7,0.486,ok
trace179.csv,475.17,0.485,ok
trace180.csv,473.43,0.484,ok
trace181.csv,471.92,0.49,ok
trace182.csv,469.6,0.495,ok
trace183.csv,467.0,0.494,ok
trace184.csv,464.79,0.499,ok
trace185.csv,461.91,0.505,ok
trace186.csv,456.86,0.5,ok
trace187.csv,452.67,0.51,ok
trace188.csv,450.06,0.511,ok
trace189.csv,447.19,0.516,ok
trace190.csv,444.52,0.521,ok
trace191.csv,438.29,0.526,ok
trace192.csv,432.29,0.532,ok
trace193.csv,427.27,0.541,ok
trace194.csv,426.23,0.541,ok
trace195.csv,427.12,0.427,ok
trace196.csv,425.01,0.429,ok
trace197.csv,423.54,0.427,ok
trace198.csv,422.75,0.428,ok
trace199.csv,421.72,0.431,ok
trace200.csv,419.77,0.429,ok
trace201.csv,414.89,0.431,ok
trace202.csv,410.29,0.438,ok
trace203.csv,406.33,0.445,ok
trace204.csv,398.48,0.461,ok
trace205.csv,396.6,0.451,ok
trace206.csv,394.24,0.453,ok
trace207.csv,388.87,0.461,ok
trace208.csv,385.16,0.471,ok
trace209.csv,380.84,0.478,ok
trace210.csv,376.47,0.483,ok
trace211.csv,372.27,0.487,ok
trace212.csv,367.87,0.489,ok
trace213.csv,364.42,0.494,ok
trace214.csv,361.92,0.497,ok
trace215.csv,358.78,0.497,ok
trace216.csv,219.64,4.486,ok
trace217.csv,360.05,0.299,ok
trace218.csv,349.56,0.299,ok
trace219.csv,333.7,0.298,ok
trace220.csv,319.72,0.298,ok
trace221.csv,299.2,0.296,ok
trace222.csv,274.13,0.297,ok
trace223.csv,230.51,0.293,ok
trace224.csv,187.79,0.293,ok
trace225.csv,144.98,0.296,ok
trace226.csv,105.7,0.296,ok
trace227.csv,72.15,0.295,ok
trace228.csv,20.99,0.298,ok
trace229.csv,2.57,0.298,ok
