sweep,filename,rpot_ohm,n_maxima,rpot_source,nominal_rpot_ohm,n_branches,n_slopes,unresolved_pct,cluster_pct,mean_T_us,median_T_us,mean_vs_median_pct,mean_ln_abs_fprime,lambda_map_per_s,lambda_map_err_per_s,lambda_map_err_stat,lambda_map_err_width,map_r2_within_branch,lambda_rosenstein_per_s,lambda_rosenstein_err_per_s,rosenstein_fit_r2,rosenstein_status,status
sweep back,trace48.csv,768.62,1412,divider fit (R0=990 ohm),,0,0,,,354.1658,353.0,0.33,,,,,,,,,,not requested,map spans only 21 quantisation steps of 21 mV (under --min-steps)
sweep back,trace49.csv,770.82,1412,divider fit (R0=990 ohm),,0,0,,,354.0539,352.0,0.58,,,,,,,,,,not requested,map spans only 19 quantisation steps of 21 mV (under --min-steps)
sweep back,trace50.csv,772.81,1412,divider fit (R0=990 ohm),,0,0,,,353.9497,354.0,-0.01,,,,,,,,,,not requested,map spans only 18 quantisation steps of 21 mV (under --min-steps)
sweep back,trace51.csv,775.01,1413,divider fit (R0=990 ohm),,0,0,,,353.8605,353.505,0.1,,,,,,,,,,not requested,map spans only 15 quantisation steps of 21 mV (under --min-steps)
sweep back,trace52.csv,779.53,1414,divider fit (R0=990 ohm),,0,0,,,353.6093,353.99,-0.11,,,,,,,,,,not requested,map spans only 8 quantisation steps of 21 mV (under --min-steps)
sweep back,trace53.csv,779.54,1414,divider fit (R0=990 ohm),,0,0,,,353.5315,353.99,-0.13,,,,,,,,,,not requested,map spans only 5 quantisation steps of 21 mV (under --min-steps)
sweep back,trace54.csv,780.9,1415,divider fit (R0=990 ohm),,0,0,,,353.401,353.99,-0.17,,,,,,,,,,not requested,map spread 0.028 V below --min-spread
sweep back,trace55.csv,791.26,1421,divider fit (R0=990 ohm),,0,0,,,351.9225,352.0,-0.02,,,,,,,,,,not requested,map spread 0.020 V below --min-spread
sweep back,trace56.csv,796.77,1424,divider fit (R0=990 ohm),,0,0,,,351.1778,351.0,0.05,,,,,,,,,,not requested,map spread 0.024 V below --min-spread
sweep back,trace57.csv,802.21,1426,divider fit (R0=990 ohm),,0,0,,,350.5186,350.99,-0.13,,,,,,,,,,not requested,map spread 0.020 V below --min-spread
sweep back,trace58.csv,813.64,1432,divider fit (R0=990 ohm),,0,0,,,349.0636,349.0,0.02,,,,,,,,,,not requested,map spread 0.019 V below --min-spread
sweep back,trace59.csv,829.39,1441,divider fit (R0=990 ohm),,0,0,,,346.9396,347.0,-0.02,,,,,,,,,,not requested,map spread 0.022 V below --min-spread
sweep back,trace60.csv,843.96,1450,divider fit (R0=990 ohm),,0,0,,,344.7177,345.0,-0.08,,,,,,,,,,not requested,map spread 0.022 V below --min-spread
sweep back,trace61.csv,849.83,1458,divider fit (R0=990 ohm),,0,0,,,342.8511,343.0,-0.04,,,,,,,,,,not requested,map spans only 5 quantisation steps of 21 mV (under --min-steps)
sweep back,trace62.csv,852.4,1463,divider fit (R0=990 ohm),,0,0,,,341.7456,342.0,-0.07,,,,,,,,,,not requested,map spread 0.096 V below --min-spread
sweep back,trace63.csv,855.88,1470,divider fit (R0=990 ohm),,0,0,,,340.0647,340.0,0.02,,,,,,,,,,not requested,map spans only 6 quantisation steps of 16 mV (under --min-steps)
sweep back,trace64.csv,868.25,1483,divider fit (R0=990 ohm),,0,0,,,337.0803,337.0,0.02,,,,,,,,,,not requested,map spread 0.055 V below --min-spread
sweep back,trace65.csv,871.17,1493,divider fit (R0=990 ohm),,0,0,,,334.7875,335.0,-0.06,,,,,,,,,,not requested,map spread 0.039 V below --min-spread
sweep back,trace66.csv,885.92,1501,divider fit (R0=990 ohm),,0,0,,,333.152,333.0,0.05,,,,,,,,,,not requested,map spread 0.029 V below --min-spread
sweep back,trace67.csv,892.59,1507,divider fit (R0=990 ohm),,0,0,,,331.8486,332.0,-0.05,,,,,,,,,,not requested,map spread 0.010 V below --min-spread
sweep back,trace68.csv,905.62,1513,divider fit (R0=990 ohm),,0,0,,,330.5661,330.0,0.17,,,,,,,,,,not requested,map spread 0.011 V below --min-spread
sweep back,trace69.csv,914.95,1515,divider fit (R0=990 ohm),,0,0,,,330.002,330.0,0.0,,,,,,,,,,not requested,map spread 0.011 V below --min-spread
sweep back,trace70.csv,912.63,1518,divider fit (R0=990 ohm),,0,0,,,329.3395,329.0,0.1,,,,,,,,,,not requested,map spread 0.012 V below --min-spread
