label,v_lo,v_hi,n,slope_S,intercept_A,slope_se_S,intercept_se_A,r2
Gc left,-8.619096,-6.7537695,9533,0.0036231870444477163,0.02714242750473985,9.015292466301246e-06,6.899015394087279e-05,0.944279238654031
Gb left,-6.7537695,-1.0934675,13239,-0.0004175594384744763,-3.5058086001860136e-05,1.5456649844461747e-06,6.625240982566071e-06,0.8464693964446127
Ga inner,-1.0934675,0.5788945,3500,-0.0007170637646220528,-0.0004129710487129946,1.0139414621842924e-05,5.536200385480069e-06,0.5884405325747402
Gb right,0.5788945,5.98191,12451,-0.00043366825277034454,-0.0007515990313621883,1.6649179946736074e-06,6.070419550057733e-06,0.8449608170335202
Gc right,5.98191,7.718594,8839,0.003786431370614927,-0.02606368373724144,1.0352310517834285e-05,7.08370602788402e-05,0.9380360914136467
