sweep,filename,n_samples,duration_s,status,reason,rpot_ohm,residual_pct,divider_difference_ohm,maxima,peak_count_matches,max_peak_difference_V,clip_pct
forward,trace1.csv,500000,0.49999899999999997,rejected,non-physical divider coefficients; check channels/clipping,,,,,,,
forward,trace2.csv,500000,0.19999963999999998,rejected,non-physical divider coefficients; check channels/clipping,,,,,,,
forward,trace3.csv,500000,0.19999963999999998,rejected,non-physical divider coefficients; check channels/clipping,,,,,,,
forward,trace4.csv,500000,0.19999963999999998,rejected,,44848.45005981683,11.28068016467965,5.9816833527293056e-05,,,,
forward,trace5.csv,500000,0.19999963999999998,rejected,,20019.876094583702,13.894345199038533,-0.003905416298948694,,,,
forward,trace6.csv,500000,0.19999963999999998,rejected,,30004.14040981567,12.945735252595453,0.0004098156714462675,,,,
forward,trace7.csv,500000,0.19999963999999998,rejected,,96074.21726429655,11.362297978859386,-0.00273570345598273,,,,
forward,trace8.csv,500000,0.19999963999999998,rejected,,39147.741245625075,13.25451742360875,0.001245625076990109,,,,
forward,trace9.csv,500000,0.19999963999999998,rejected,,4626.292095909773,13.866302509485728,0.002095909772833693,,,,
forward,trace10.csv,500000,0.19999963999999998,rejected,,5857.5345622081395,13.964658439465419,0.004562208139759605,,,,
forward,trace11.csv,500000,0.19999963999999998,rejected,,1765.7771485806868,13.92657246310838,-0.0028514193131741195,,,,
forward,trace12.csv,500000,0.19999963999999998,rejected,,777.6863275625401,7.996158386070869,-0.0036724374599543808,,,,
forward,trace13.csv,500000,0.19999963999999998,rejected,,837.6174441124276,5.848931507770265,-0.002555887572384563,,,,
forward,trace14.csv,500000,0.19999963999999998,ok,,870.4951899297082,4.5322984302735865,-0.0048100702917963645,609.0,True,4.99585309565731e-07,0.0084
forward,trace15.csv,500000,0.19999963999999998,ok,,881.2441581023884,3.9620436171749907,0.004158102388373663,609.0,True,4.979713006392217e-07,0.0008
forward,trace16.csv,500000,0.19999963999999998,ok,,887.7080772482774,3.3511485183203202,-0.0019227517226454438,608.0,True,4.999780021108791e-07,0.5638
forward,trace17.csv,500000,0.19999963999999998,ok,,891.0268801130488,2.777014143025683,-0.0031198869511399607,608.0,True,4.994111479916796e-07,0.241
forward,trace18.csv,500000,0.19999963999999998,ok,,891.1828801609491,2.4298768996238693,0.002880160949189303,608.0,True,4.974477092467566e-07,0.086
forward,trace19.csv,500000,0.19999963999999998,ok,,886.7472831851293,2.1003416867441143,-0.002716814870723283,607.0,True,4.998038294345974e-07,0.0364
forward,trace20.csv,500000,0.19999963999999998,ok,,886.1557927966311,1.7928604431667237,-0.004207203368878254,607.0,True,4.994111377776278e-07,0.2914
forward,trace21.csv,500000,0.19999963999999998,ok,,885.561334566764,1.716340503087739,0.001334566764057854,607.0,True,4.998474563144839e-07,0.6192
forward,trace22.csv,500000,0.19999963999999998,ok,,886.7957400286675,1.6089910441432245,-0.004259971332430723,606.0,True,4.996729261463884e-07,0.0266
forward,trace23.csv,500000,0.19999963999999998,ok,,886.2790177275646,1.4650674935318284,-0.0009822724354080492,605.0,True,4.99454438251945e-07,0.0344
forward,trace24.csv,500000,0.19999963999999998,ok,,889.8372484855239,1.3825351735754436,-0.0027515144761309784,605.0,True,4.998907598974256e-07,0.0076
