sweep,filename,rpot,c1_nf,gb_ms,intercept_ma,rmse_ua
forward,trace14.csv,870.5,8.516440523408255,-0.4217342831639419,0.3738845231493573,6.788614373275619
forward,trace27.csv,882.19,11.00284654468635,-0.4142229033552695,0.3632008891132602,7.7306000916462905
forward,trace40.csv,860.39,11.292023834564318,-0.413360322264662,0.36350331998855845,9.880856916493082
forward,trace53.csv,810.33,11.472197720065171,-0.4131576453389132,0.3633305801441016,14.414683871175923
forward,trace66.csv,783.01,11.329086013928466,-0.41304517100195814,0.3587009006153857,16.191158691770504
forward,trace79.csv,764.17,11.305188908805087,-0.4133322811531842,0.3579164876461992,16.387931216101194
forward,trace92.csv,749.48,11.281069818318773,-0.41299270535664256,0.3577311835933831,15.97034603348398
forward,trace105.csv,740.89,11.269517534151971,-0.4129786757873906,0.3579372024125016,16.101386715317545
forward,trace118.csv,731.81,11.24993047294989,-0.41297239382704365,0.3579434427578527,15.990977412484778
forward,trace131.csv,724.94,11.239148498242397,-0.41310740834791326,0.3578449853601867,16.086871250261634
forward,trace144.csv,715.45,11.196820837362619,-0.4134252051396129,0.3566814758896464,16.0245244627436
forward,trace157.csv,705.2,11.20665115909586,-0.41319264047667326,0.3567103321169803,16.14348567782464
forward,trace170.csv,695.96,11.130745726811407,-0.4132750558764846,0.3552954300253696,15.919770451844384
forward,trace183.csv,686.19,11.087551013255007,-0.413524378523794,0.3543006403291501,15.715825324644735
forward,trace196.csv,675.97,11.025635791971874,-0.41339338762988265,0.3548344368248194,15.475757173977488
forward,trace209.csv,667.45,10.844537211583837,-0.41200474055916125,0.35616923847534576,28.95881550380237
forward,trace222.csv,659.37,10.886659840211843,-0.4124793053874405,0.3559802546780892,28.719531451562947
forward,trace235.csv,637.11,10.780242240609429,-0.41283865218197424,0.356496335052754,28.583294305100285
forward,trace248.csv,597.84,10.452738191573744,-0.4116835133848473,0.35858160963259444,28.887225313679263
forward,trace261.csv,563.95,10.105346464103649,-0.41181351909344455,0.35902842818987923,28.02536695690807
forward,trace274.csv,540.58,9.671228006440714,-0.41287456092348906,0.35896848721072966,27.446937307345074
forward,trace287.csv,524.72,9.861583999934448,-0.4118279863449944,0.35965032228066107,27.587633787392072
forward,trace300.csv,501.68,9.753088634239678,-0.41256187522658694,0.3595712383530062,27.428674725510366
forward,trace313.csv,484.37,9.42017682371307,-0.41659212487529373,0.35493782892857817,26.830346216111504
forward,trace326.csv,459.21,8.983220757592871,-0.4189965513459576,0.3506988805218618,26.88813340776239
forward,trace339.csv,454.39,9.75966741355827,-0.41312688840635836,0.3565555375184259,18.228809475783763
forward,trace352.csv,437.57,9.29153495199776,-0.40903689120431497,0.36497953896577906,18.955534536849644
forward,trace365.csv,405.89,6.537046079411711,-0.3636711039807703,0.43667446772208784,14.972646874345578
forward,trace378.csv,377.6,0.0,0.0,0.0,
forward,trace391.csv,354.34,0.0,0.0,0.0,
forward,trace404.csv,317.72,0.0,0.0,0.0,
forward,trace418.csv,3.66,12.013281235117248,-0.4360473060143101,0.2838166612923304,83.71852018602108
back,trace1.csv,2.7,11.994899587599201,-0.4347861572987411,0.28770540275911344,81.98387311526803
back,trace3.csv,66.62,12.007361763886152,-0.433371134250028,0.2893282763954247,82.8824649409035
back,trace5.csv,133.37,11.990108280063819,-0.4286682214037495,0.3033804360499157,83.60561178449613
back,trace8.csv,229.25,11.974907757272995,-0.4302040514432962,0.2953160430757099,81.26548743629385
back,trace10.csv,277.79,11.960671460584605,-0.4277473164244224,0.3079863626527804,81.27479882527533
back,trace12.csv,356.14,11.954598463842581,-0.42300145217315754,0.3241039271620344,80.27034774702342
back,trace15.csv,453.15,11.940500460956066,-0.42148966765854906,0.3265419968966513,81.15281116912718
back,trace17.csv,485.59,11.909467168083266,-0.4173203726632896,0.34281870498161937,78.90511084243093
back,trace19.csv,515.68,11.91154261324666,-0.4176123325900494,0.3414362883714005,77.74863706118089
back,trace22.csv,559.73,11.889358294792753,-0.4111182218958201,0.3638472663797682,78.00062514511131
back,trace24.csv,574.95,11.875578224950875,-0.41375587514117707,0.3554929665863006,76.44479232589394
back,trace26.csv,591.79,11.86287800279638,-0.41188374932638117,0.36077087876478336,78.49943015832021
back,trace29.csv,619.81,11.85623121428117,-0.4097469540813849,0.37083861069109114,76.72553506662922
back,trace31.csv,636.37,11.835001697677635,-0.4106094193316403,0.3651811514788418,76.63348331669751
back,trace33.csv,654.04,11.839019900291639,-0.4097077964250544,0.36843930872820896,75.18711229383085
back,trace36.csv,685.44,11.180549783393447,-0.41334773085548193,0.35821698519289136,21.08336096592464
back,trace38.csv,696.36,11.241430066090729,-0.41344414118214456,0.35824145993425793,20.627555312612326
back,trace41.csv,706.59,11.255613865902932,-0.4134279851821753,0.35926839387741083,21.03600808653146
back,trace43.csv,710.16,11.26419436995027,-0.41319688928645826,0.3600787010632485,21.002161283149935
back,trace45.csv,717.02,11.294053115800367,-0.41322426881398405,0.35994601796885217,21.263363752880363
back,trace48.csv,726.91,11.321321562820453,-0.41313218931481044,0.36108691340271537,21.130840601239505
back,trace50.csv,732.15,11.33150662088996,-0.41301579329749755,0.3613566706255568,21.30436814538207
back,trace52.csv,733.98,11.33417126452504,-0.41308610903034626,0.36076701555601187,21.52111571329946
back,trace55.csv,738.43,11.346754397033592,-0.41291600814804996,0.3616042678712077,21.217602477381554
back,trace57.csv,741.14,11.348122924045837,-0.4130399624562866,0.3614290923163417,21.058103817166902
back,trace59.csv,744.74,11.360215018746237,-0.4128798259873441,0.36201046703684325,21.198780474587625
back,trace62.csv,751.47,11.420702840819045,-0.41287145664508185,0.3626528684273016,14.445720127105183
back,trace64.csv,763.87,11.436928808721097,-0.412631963357566,0.3628648209610015,14.465380163316578
back,trace66.csv,767.92,11.454078220216804,-0.41282946987289737,0.3625961639393035,14.240152271234594
back,trace69.csv,805.67,11.406369656660024,-0.4127008246029602,0.3625307248409815,17.893099962359507
back,trace71.csv,849.06,11.303724691386494,-0.41254324021245636,0.36255107012115295,17.17752885088705
back,trace74.csv,900.62,10.231020957049404,-0.4144265633492884,0.3590410293870285,5.961372269922424
